Price,Details,Address,features,Area,Bedrooms,House_type
14000,2 BHK Independent House,"Vivekananda nagar colony kukatpally, Vivekananda Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,2,Independent
11000,1 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,700.0,1,Apartment
15000,2 BHK Apartment,"sai teja residency kukatpally, Vijaya Nagar Colony, Kukatpally, Hyderabad",Semi Furnished,1050.0,2,Apartment
21000,2 BHK Apartment,"Jal Vayu Vihar, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Apartment
65000,2 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,2500.0,2,Independent
7500,1 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,156.0,1,Independent
22000,3 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1700.0,3,Independent
20000,3 BHK Villa,"Environ Enclave, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1800.0,3,Villa
200000,10 BHK Independent Floor,"Addagutta, Samatha Nagar, Kukatpally, Hyderabad",Semi Furnished,4000.0,10,Independent
22000,3 BHK Independent Floor,"Individual Hose, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1700.0,3,Independent
18000,3 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1300.0,3,Independent
22000,3 BHK Apartment,"Flat no 302 Sai kuteer Road no 5 Vijaya Nagar colony, Vijaya Nagar Colony, Kukatpally, Hyderabad",Semi Furnished,1650.0,3,Apartment
14000,1 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,800.0,1,Independent
23000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1500.0,3,Apartment
50000,3 BHK Apartment,"Lodha Meridian Super 60, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,2259.0,3,Apartment
45000,3 BHK Apartment,"Lodha Meridian Super 60, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,2529.0,3,Apartment
